program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-183059-tr-nodecay-s040,0,200,80.701,61051,35
bench-ab-20260915-183059-tr-nodecay-s040,1,200,58.529,61115,41
bench-ab-20260915-183059-tr-nodecay-s040,2,200,1.173,61185,56
bench-ab-20260915-183059-tr-nodecay-s041,0,200,81.953,61122,33
bench-ab-20260915-183059-tr-nodecay-s041,1,200,57.15,61184,44
bench-ab-20260915-183059-tr-nodecay-s041,2,200,1.356,61257,80
bench-ab-20260915-183059-tr-nodecay-s042,0,200,82.919,61200,29
bench-ab-20260915-183059-tr-nodecay-s042,1,200,56.232,61258,43
bench-ab-20260915-183059-tr-nodecay-s042,2,200,1.145,61330,56
bench-ab-20260915-183059-tr-nodecay-s043,0,200,1809.64,61303,33
bench-ab-20260915-183059-tr-nodecay-s043,1,200,71.956,61365,48
bench-ab-20260915-183059-tr-nodecay-s043,2,200,62.243,61442,40
bench-ab-20260915-183059-tr-nodecay-s044,0,200,1811.018,61295,31
bench-ab-20260915-183059-tr-nodecay-s044,1,200,71.883,61355,53
bench-ab-20260915-183059-tr-nodecay-s044,2,200,60.228,61437,50
bench-ab-20260915-183059-tr-nodecay-s045,0,200,1813.176,61213,33
bench-ab-20260915-183059-tr-nodecay-s045,1,200,68.168,61275,48
bench-ab-20260915-183059-tr-nodecay-s045,2,200,40.939,61352,36
bench-ab-20260915-183059-tr-nodecay-s046,0,200,1817.927,61213,45
bench-ab-20260915-183059-tr-nodecay-s046,1,200,58.85,61287,30
bench-ab-20260915-183059-tr-nodecay-s046,2,200,46.118,61346,31
bench-ab-20260915-183059-tr-nodecay-s047,0,200,1818.14,61117,38
bench-ab-20260915-183059-tr-nodecay-s047,1,200,61.17,61184,41
bench-ab-20260915-183059-tr-nodecay-s047,2,200,49.488,61254,36
bench-ab-20260915-183059-tr-nodecay-s048,0,200,1819.828,61184,38
bench-ab-20260915-183059-tr-nodecay-s048,1,200,57.278,61251,33
bench-ab-20260915-183059-tr-nodecay-s048,2,200,40.488,61313,32
bench-ab-20260915-183059-tr-nodecay-s049,0,200,1821.78,61280,38
bench-ab-20260915-183059-tr-nodecay-s049,1,200,57.275,61347,41
bench-ab-20260915-183059-tr-nodecay-s049,2,200,55.018,61417,41
bench-ab-20260915-183059-tr-nodecay-s050,0,200,1825.554,61063,47
bench-ab-20260915-183059-tr-nodecay-s050,1,200,66.439,61139,80
bench-ab-20260915-183059-tr-nodecay-s050,2,200,50.547,61249,80
bench-ab-20260915-183059-tr-nodecay-s051,0,200,1825.426,61150,39
bench-ab-20260915-183059-tr-nodecay-s051,1,200,56.747,61218,40
bench-ab-20260915-183059-tr-nodecay-s051,2,200,51.384,61287,36
bench-ab-20260915-183059-tr-nodecay-s052,0,200,1827.712,61250,42
bench-ab-20260915-183059-tr-nodecay-s052,1,200,60.805,61321,61
bench-ab-20260915-183059-tr-nodecay-s052,2,200,53.967,61411,80
bench-ab-20260915-183059-tr-nodecay-s053,0,200,1830.661,61161,45
bench-ab-20260915-183059-tr-nodecay-s053,1,200,51.502,61235,30
bench-ab-20260915-183059-tr-nodecay-s053,2,200,51.143,61294,32
bench-ab-20260915-183059-tr-nodecay-s054,0,200,1828.707,61268,31
bench-ab-20260915-183059-tr-nodecay-s054,1,200,65.556,61328,80
bench-ab-20260915-183059-tr-nodecay-s054,2,200,48.093,61438,49
bench-ab-20260915-183059-tr-nodecay-s055,0,200,1832.453,61137,38
bench-ab-20260915-183059-tr-nodecay-s055,1,200,52.442,61204,37
bench-ab-20260915-183059-tr-nodecay-s055,2,200,53.991,61270,53
bench-ab-20260915-183059-tr-nodecay-s056,0,200,1835.168,61169,43
bench-ab-20260915-183059-tr-nodecay-s056,1,200,56.065,61241,40
bench-ab-20260915-183059-tr-nodecay-s056,2,200,50.55,61310,80
bench-ab-20260915-183059-tr-nodecay-s057,0,200,1834.764,61243,34
bench-ab-20260915-183059-tr-nodecay-s057,1,200,53.425,61306,36
bench-ab-20260915-183059-tr-nodecay-s057,2,200,51.608,61371,54
