program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-162856-tr-decay-s041,2,200,41.886,61261,45
bench-ab-20260915-162856-tr-decay-s042,0,200,82.867,61200,29
bench-ab-20260915-162856-tr-decay-s042,1,200,73.772,61258,37
bench-ab-20260915-162856-tr-decay-s042,2,200,43.696,61324,52
bench-ab-20260915-162856-tr-decay-s043,0,200,145.529,61303,33
bench-ab-20260915-162856-tr-decay-s043,1,200,51.01,61365,48
bench-ab-20260915-162856-tr-decay-s043,2,200,47.887,61442,61
bench-ab-20260915-162856-tr-decay-s044,0,200,269.596,61295,31
bench-ab-20260915-162856-tr-decay-s044,1,200,34.97,61355,50
bench-ab-20260915-162856-tr-decay-s044,2,200,0.949,61434,46
bench-ab-20260915-162856-tr-decay-s045,0,200,273.647,61213,33
bench-ab-20260915-162856-tr-decay-s045,1,200,31.126,61275,80
bench-ab-20260915-162856-tr-decay-s045,2,200,0.923,61385,61
bench-ab-20260915-162856-tr-decay-s046,0,200,244.469,61213,45
bench-ab-20260915-162856-tr-decay-s046,1,200,53.516,61287,30
bench-ab-20260915-162856-tr-decay-s046,2,200,5.514,61346,28
bench-ab-20260915-162856-tr-decay-s047,0,200,244.337,61117,38
bench-ab-20260915-162856-tr-decay-s047,1,200,54.818,61184,41
bench-ab-20260915-162856-tr-decay-s047,2,200,4.735,61254,50
bench-ab-20260915-162856-tr-decay-s048,0,200,189.402,61184,38
bench-ab-20260915-162856-tr-decay-s048,1,200,37.708,61251,33
bench-ab-20260915-162856-tr-decay-s048,2,200,45.355,61313,32
bench-ab-20260915-162856-tr-decay-s049,0,200,226.989,61280,38
bench-ab-20260915-162856-tr-decay-s049,1,200,47.893,61347,41
bench-ab-20260915-162856-tr-decay-s049,2,200,28.44,61417,35
bench-ab-20260915-162856-tr-decay-s050,0,200,253.773,61063,47
bench-ab-20260915-162856-tr-decay-s050,1,200,50.192,61139,80
bench-ab-20260915-162856-tr-decay-s050,2,200,1.175,61249,80
bench-ab-20260915-162856-tr-decay-s051,0,200,246.023,61150,39
bench-ab-20260915-162856-tr-decay-s051,1,200,56.688,61218,40
bench-ab-20260915-162856-tr-decay-s051,2,200,5.179,61287,45
bench-ab-20260915-162856-tr-decay-s052,0,200,250.371,61250,42
bench-ab-20260915-162856-tr-decay-s052,1,200,52.821,61321,60
bench-ab-20260915-162856-tr-decay-s052,2,200,0.991,61410,72
bench-ab-20260915-162856-tr-decay-s053,0,200,237.598,61161,45
bench-ab-20260915-162856-tr-decay-s053,1,200,53.31,61235,30
bench-ab-20260915-162856-tr-decay-s053,2,200,11.915,61294,36
bench-ab-20260915-162856-tr-decay-s054,0,200,226.357,61268,31
bench-ab-20260915-162856-tr-decay-s054,1,200,57.909,61328,80
bench-ab-20260915-162856-tr-decay-s054,2,200,18.6,61438,43
bench-ab-20260915-162856-tr-decay-s055,0,200,272.057,61137,38
bench-ab-20260915-162856-tr-decay-s055,1,200,31.458,61204,80
bench-ab-20260915-162856-tr-decay-s055,2,200,1.116,61314,80
bench-ab-20260915-162856-tr-decay-s056,0,200,276.871,61169,43
bench-ab-20260915-162856-tr-decay-s056,1,200,25.997,61241,41
bench-ab-20260915-162856-tr-decay-s056,2,200,0.883,61311,46
bench-ab-20260915-162856-tr-decay-s057,0,200,276.174,61243,34
bench-ab-20260915-162856-tr-decay-s057,1,200,26.612,61306,43
