ts,backend,kv_cache_usage_perc,interval_hit_rate,interval_queries,interval_hits,cum_prefix_cache_queries,cum_prefix_cache_hits,num_requests_running,num_requests_waiting,active_program_tokens,reasoning_program_tokens,acting_program_tokens,capacity_overflow
1789511424.3,http://10.100.2.6:8000,0.1433,,0,0,1675805,19216,6,32,2126701,2126701,0,0
1789511424.3,http://10.100.3.5:8000,0.1462,,0,0,1677375,19008,6,27,2068416,2068416,0,0
1789511426.3,http://10.100.15.12:8000,0.1376,0.0,183686,0,1159234006,1062381280,6,31,2189382,2189382,0,0
1789511426.3,http://10.100.2.5:8000,0.1653,0.0,183968,0,1860826,19568,7,28,2186015,2186015,0,0
1789511426.3,http://10.100.2.6:8000,0.1345,0.0,122629,0,1798434,19216,5,30,2193137,2193137,0,0
1789511426.3,http://10.100.3.5:8000,0.1337,0.0,122480,0,1799855,19008,5,29,2196219,2196219,0,0
1789511428.4,http://10.100.15.12:8000,0.1376,,0,0,1159234006,1062381280,6,31,2194740,2133290,61450,0
1789511428.4,http://10.100.2.5:8000,0.1653,,0,0,1860826,19568,7,28,2129945,2129945,0,0
1789511428.4,http://10.100.2.6:8000,0.1345,,0,0,1798434,19216,5,30,2137074,2137074,0,0
1789511428.4,http://10.100.3.5:8000,0.1337,,0,0,1799855,19008,5,29,2140229,2140229,0,0
1789511430.4,http://10.100.15.12:8000,0.165,0.0,122142,0,1159356148,1062381280,7,30,2194711,2194711,0,0
1789511430.4,http://10.100.2.5:8000,0.189,0.0,61468,0,1922294,19568,7,29,2073910,2073910,0,0
1789511430.4,http://10.100.2.6:8000,0.1273,0.0,122596,0,1921030,19216,5,30,2081023,2081023,0,0
1789511430.4,http://10.100.3.5:8000,0.1539,0.0,122111,0,1921966,19008,6,30,2140229,2140229,0,0
1789511432.4,http://10.100.15.12:8000,0.1597,,0,0,1159356148,1062381280,6,30,2199991,2199991,0,0
1789511432.4,http://10.100.2.5:8000,0.1598,0.0,61350,0,1983644,19568,6,28,2201792,2201792,0,0
1789511432.4,http://10.100.2.6:8000,0.1255,0.0,61293,0,1982323,19216,5,29,2152768,2152768,0,0
1789511432.4,http://10.100.3.5:8000,0.1832,0.0,61099,0,1983065,19008,7,29,2089483,2089483,0,0
1789511434.4,http://10.100.15.12:8000,0.1597,,0,0,1159356148,1062381280,6,30,2199991,2199991,0,0
1789511434.4,http://10.100.2.5:8000,0.1598,,0,0,1983644,19568,6,28,2089698,2089698,0,0
1789511434.4,http://10.100.2.6:8000,0.1255,,0,0,1982323,19216,5,29,2152768,2152768,0,0
1789511434.4,http://10.100.3.5:8000,0.1832,,0,0,1983065,19008,7,29,2033445,2033445,0,0
1789511436.4,http://10.100.15.12:8000,0.233,0.25,245165,61296,1159601313,1062442576,9,27,2205162,2143952,61210,0
1789511436.4,http://10.100.2.5:8000,0.1234,0.0,183588,0,2167232,19568,5,28,2222853,2222853,0,0
1789511436.4,http://10.100.2.6:8000,0.144,0.0,183885,0,2166208,19216,6,29,2163321,2163321,0,0
1789511436.4,http://10.100.3.5:8000,0.1705,0.0,183073,0,2166138,19008,7,27,2217450,2217450,0,0
1789511438.5,http://10.100.15.12:8000,0.233,,0,0,1159601313,1062442576,9,27,2216035,2216035,0,0
1789511438.5,http://10.100.2.5:8000,0.1234,,0,0,2167232,19568,5,28,2166854,2166854,0,0
1789511438.5,http://10.100.2.6:8000,0.144,,0,0,2166208,19216,6,29,2107275,2107275,0,0
1789511438.5,http://10.100.3.5:8000,0.1705,,0,0,2166138,19008,7,27,2217450,2217450,0,0
1789511440.5,http://10.100.15.12:8000,0.2295,0.0,122181,0,1159723494,1062442576,9,28,2216035,2216035,0,0
1789511440.5,http://10.100.2.5:8000,0.1435,0.0,122355,0,2289587,19568,6,30,2166854,2166854,0,0
1789511440.5,http://10.100.2.6:8000,0.133,0.0,61092,0,2227300,19216,5,30,2051320,2051320,0,0
1789511440.5,http://10.100.3.5:8000,0.1635,0.0,61239,0,2227377,19008,6,29,2049230,2049230,0,0
1789511442.5,http://10.100.15.12:8000,0.2478,0.0,61380,0,1159784874,1062442576,10,27,2221316,2221316,0,0
1789511442.5,http://10.100.2.5:8000,0.1691,0.0,61087,0,2350674,19568,7,29,2175401,2175401,0,0
1789511442.5,http://10.100.2.6:8000,0.1313,0.0,60939,0,2288239,19216,5,29,2173915,2173915,0,0
1789511442.5,http://10.100.3.5:8000,0.1618,0.0,61057,0,2288434,19008,6,28,2176123,2176123,0,0
1789511444.5,http://10.100.15.12:8000,0.2478,,0,0,1159784874,1062442576,10,27,2236115,2236115,0,2775
1789511444.5,http://10.100.2.5:8000,0.1619,0.0,60929,0,2411603,19568,6,30,2175401,2175401,0,0
1789511444.5,http://10.100.2.6:8000,0.1313,,0,0,2288239,19216,5,29,2116855,2116855,0,0
1789511444.5,http://10.100.3.5:8000,0.1548,0.0,122445,0,2410879,19008,6,29,2119096,2119096,0,0
1789511446.5,http://10.100.15.12:8000,0.1842,0.0,122232,0,1159907106,1062442576,7,30,2240378,2240378,0,7038
1789511446.5,http://10.100.2.5:8000,0.1328,0.0,61120,0,2472723,19568,5,29,2183955,2183955,0,0
1789511446.5,http://10.100.2.6:8000,0.1223,0.0,183740,0,2471979,19216,5,28,2186615,2186615,0,0
1789511446.5,http://10.100.3.5:8000,0.1532,0.0,61271,0,2472150,19008,6,28,2127603,2127603,0,0
1789511448.6,http://10.100.15.12:8000,0.1842,,0,0,1159907106,1062442576,7,30,2126226,2126226,0,0
1789511448.6,http://10.100.2.5:8000,0.1328,,0,0,2472723,19568,5,29,2183955,2183955,0,0
1789511448.6,http://10.100.2.6:8000,0.1223,,0,0,2471979,19216,5,28,2186615,2186615,0,0
1789511448.6,http://10.100.3.5:8000,0.1532,,0,0,2472150,19008,6,28,2127603,2127603,0,0
1789511450.6,http://10.100.15.12:8000,0.157,0.0,122819,0,1160029925,1062442576,6,28,2069161,2069161,0,0
1789511450.6,http://10.100.2.5:8000,0.1841,0.0,122568,0,2595291,19568,7,29,2126974,2126974,0,0
1789511450.6,http://10.100.2.6:8000,0.1662,0.0,122474,0,2594453,19216,7,29,2186615,2186615,0,0
1789511450.6,http://10.100.3.5:8000,0.1423,0.0,122707,0,2594857,19008,6,28,2070576,2070576,0,0
1789511452.6,http://10.100.15.12:8000,0.179,0.0,61443,0,1160091368,1062442576,7,27,2077760,2077760,0,0
1789511452.6,http://10.100.2.5:8000,0.1823,0.0,61266,0,2656557,19568,7,28,2188290,2188290,0,0
1789511452.6,http://10.100.2.6:8000,0.1645,0.0,61300,0,2655753,19216,7,28,2133860,2133860,0,0
1789511452.6,http://10.100.3.5:8000,0.1716,0.0,61453,0,2656310,19008,7,27,2193185,2193185,0,0
1789511454.6,http://10.100.15.12:8000,0.179,,0,0,1160091368,1062442576,7,27,2077760,2077760,0,0
1789511454.6,http://10.100.2.5:8000,0.1989,0.0,122703,0,2779260,19568,8,27,2131246,2131246,0,0
1789511454.6,http://10.100.2.6:8000,0.1575,0.0,61206,0,2716959,19216,6,28,2076752,2076752,0,0
1789511454.6,http://10.100.3.5:8000,0.1334,0.0,61374,0,2717684,19008,5,28,2017747,2017747,0,0
1789511456.6,http://10.100.15.12:8000,0.1388,0.0,184027,0,1160275395,1062442576,6,26,2204705,2204705,0,0
1789511456.6,http://10.100.2.5:8000,0.1736,0.0,61208,0,2840468,19568,7,26,2200386,2200386,0,0
1789511456.6,http://10.100.2.6:8000,0.1321,0.0,61192,0,2778151,19216,5,27,2204137,2204137,0,0
1789511456.6,http://10.100.3.5:8000,0.1627,0.0,61390,0,2779074,19008,6,27,2201640,2201640,0,0
1789511458.6,http://10.100.15.12:8000,0.1388,,0,0,1160275395,1062442576,6,26,2144847,2144847,0,0
1789511458.6,http://10.100.2.5:8000,0.1736,,0,0,2840468,19568,7,26,2139239,2139239,0,0
1789511458.6,http://10.100.2.6:8000,0.1321,,0,0,2778151,19216,5,27,2204137,2204137,0,0
