program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-205919-default-s041,2,200,151.827,61261,45
bench-ab-20260915-205919-default-s042,0,200,82.91,61200,29
bench-ab-20260915-205919-default-s042,1,200,153.878,61258,37
bench-ab-20260915-205919-default-s042,2,200,152.802,61324,52
bench-ab-20260915-205919-default-s043,0,200,85.572,61303,33
bench-ab-20260915-205919-default-s043,1,200,155.976,61365,48
bench-ab-20260915-205919-default-s043,2,200,155.886,61442,61
bench-ab-20260915-205919-default-s044,0,200,87.09,61295,31
bench-ab-20260915-205919-default-s044,1,200,157.549,61355,53
bench-ab-20260915-205919-default-s044,2,200,152.669,61437,46
bench-ab-20260915-205919-default-s045,0,200,89.102,61213,33
bench-ab-20260915-205919-default-s045,1,200,155.99,61275,48
bench-ab-20260915-205919-default-s045,2,200,151.406,61352,36
bench-ab-20260915-205919-default-s046,0,200,94.17,61213,45
bench-ab-20260915-205919-default-s046,1,200,148.16,61287,30
bench-ab-20260915-205919-default-s046,2,200,149.148,61346,31
bench-ab-20260915-205919-default-s047,0,200,94.044,61117,38
bench-ab-20260915-205919-default-s047,1,200,152.81,61184,41
bench-ab-20260915-205919-default-s047,2,200,153.207,61254,36
bench-ab-20260915-205919-default-s048,0,200,95.996,61184,38
bench-ab-20260915-205919-default-s048,1,200,150.527,61251,33
bench-ab-20260915-205919-default-s048,2,200,150.418,61313,32
bench-ab-20260915-205919-default-s049,0,200,97.679,61280,38
bench-ab-20260915-205919-default-s049,1,200,152.68,61347,41
bench-ab-20260915-205919-default-s049,2,200,152.468,61417,41
bench-ab-20260915-205919-default-s050,0,200,101.678,61063,47
bench-ab-20260915-205919-default-s050,1,200,162.323,61139,80
bench-ab-20260915-205919-default-s050,2,200,160.118,61249,80
bench-ab-20260915-205919-default-s051,0,200,101.419,61150,39
bench-ab-20260915-205919-default-s051,1,200,150.281,61218,40
bench-ab-20260915-205919-default-s051,2,200,151.7,61287,36
bench-ab-20260915-205919-default-s052,0,200,103.858,61250,42
bench-ab-20260915-205919-default-s052,1,200,157.033,61321,61
bench-ab-20260915-205919-default-s052,2,200,159.123,61411,80
bench-ab-20260915-205919-default-s053,0,200,106.47,61161,45
bench-ab-20260915-205919-default-s053,1,200,150.11,61235,30
bench-ab-20260915-205919-default-s053,2,200,147.398,61294,32
bench-ab-20260915-205919-default-s054,0,200,104.769,61268,31
bench-ab-20260915-205919-default-s054,1,200,162.497,61328,80
bench-ab-20260915-205919-default-s054,2,200,151.651,61438,46
bench-ab-20260915-205919-default-s055,0,200,108.405,61137,38
bench-ab-20260915-205919-default-s055,1,200,151.773,61204,37
bench-ab-20260915-205919-default-s055,2,200,150.966,61270,53
bench-ab-20260915-205919-default-s056,0,200,111.352,61169,43
bench-ab-20260915-205919-default-s056,1,200,153.177,61241,40
bench-ab-20260915-205919-default-s056,2,200,160.871,61310,80
bench-ab-20260915-205919-default-s057,0,200,110.667,61243,34
bench-ab-20260915-205919-default-s057,1,200,150.714,61306,36
bench-ab-20260915-205919-default-s057,2,200,153.44,61371,54
bench-ab-20260915-205919-default-s058,0,200,117.193,61042,51
bench-ab-20260915-205919-default-s058,1,200,156.728,61122,56
bench-ab-20260915-205919-default-s058,2,200,150.504,61207,40
bench-ab-20260915-205919-default-s059,0,200,113.484,61085,30
bench-ab-20260915-205919-default-s059,1,200,153.827,61144,45
bench-ab-20260915-205919-default-s059,2,200,154.501,61218,52
bench-ab-20260915-205919-default-s060,0,200,115.135,61157,30
bench-ab-20260915-205919-default-s060,1,200,154.23,61216,45
bench-ab-20260915-205919-default-s060,2,200,148.47,61290,30
bench-ab-20260915-205919-default-s061,0,200,117.798,61189,33
bench-ab-20260915-205919-default-s061,1,200,158.333,61251,58
bench-ab-20260915-205919-default-s061,2,200,161.787,61338,80
bench-ab-20260915-205919-default-s062,0,200,118.843,61264,30
bench-ab-20260915-205919-default-s062,1,200,156.19,61323,47
bench-ab-20260915-205919-default-s062,2,200,152.543,61399,46
bench-ab-20260915-205919-default-s063,0,200,120.519,61324,29
